developer;developer_id
Toxic Games;964
NAMCO BANDAI Games;965
Ian Campbell;966
Greenheart Games;967
DoubleBear Productions;968
Panzar Studio;969
Bennett Foddy;970
Conifer Games;971
Game Dev Castle;972
Zen Studios;973
Ivory Tower in collaboration with Ubisoft Reflections;974
Cellar Door Games;975
Exato Games Studio;976
TimeSymmetry;977
"Abstraction Games;The Bitmap Brothers";978
Full Control Studios;979
"NetherRealm Studios;High Voltage Software";980
Masangsoft, Inc.;981
Endnight Games Ltd;982
Phoenix Online Studios;983
Carlsen Games;984
Indomitus Games;985
"M2H;Blackmill Games";986
Shining Rock Software LLC;987
Quantic Dream;988
Blackpowder Games;989
Untame;990
Phosfiend Systems;991
Tate Multimedia;992
"Double Eleven;Q-Games Ltd.";993
Gamepires;994
777 Studios;995
"Gearbox Software;Aspyr (Mac)";996
Kunos Simulazioni;997
Dead Shark Triplepunch;998
Mad Orange;999
Iron Galaxy;1000
Team Colorblind;1001
Schine, GmbH;1002
"Mediatonic;The Irregular Corporation";1003
Wingware;1004
Michael Todd Games;1005
"Curve Digital;FuturLab";1006
Lucky Pause;1007
"Poppermost Productions;WastedStudios";1008
Schulenburg Software;1009
"THQ Nordic;Mind Over Matter Studios";1010
Lab Zero Games;1011
Junction Point;1012
Tindalos Interactive;1013
Cyberdreams;1014
Sir-Tech;1015
Sir-Tech Canada;1016
RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev;1017
Ironhide Game Studio;1018
Modern Dream;1019
Ndemic Creations;1020
Ragequit Corporation;1021
Moonshark, Inc.;1022
ShadowShifters;1023
Aterdux Entertainment;1024
Chainsawesome Games;1025
Vex Studios, LLC;1026
WildTangent;1027
"QUByte Interactive;Commotion Games Pty Ltd";1028
RuneStorm;1029
Arkavi Studios;1030
Impromptu Games;1031
Nomad Games;1032
Vertigo Gaming Inc.;1033
Brace Yourself Games;1034
Studio Bean;1035
Crazy Viking Studios;1036
Renegade Kid;1037
Rising Star Games;1038
Phosphor Games Studio;1039
The Tiniest Shark;1040
Keen Games;1041
Clickteam;1042
Nifflas' Games;1043
Songquito UG;1044
GalaxyTrail;1045
Pixeljam;1046
North of Earth;1047
Chronic Logic;1048
Dekovir Entertainment;1049
Saibot Studios;1050
Biart Company LLC;1051
Team Reptile;1052
Nabi Studios;1053
KillHouse Games;1054
Flyleap Studios Pty. Ltd.;1055
Hitcents;1056
Dischan Media;1057
Hopoo Games;1058
Blue Bottle Games;1059
CreativeForge Games;1060
Petit Depotto;1061
Screwfly Studios;1062
Silk Games;1063
Rain Games;1064
Evolutionary Games;1065
Zootfly;1066
ARTDINK;1067
BetaDwarf;1068
Infinite Monkeys Entertainment Ltd.;1069
"Nanmo (Takayuki Yanagihara) @ FullPowerSideAttack.com;sanodg (Nobuyoshi Sano)";1070
Witch Beam;1071
"SNK CORPORATION;DotEmu";1072
Necrophone Games;1073
"Eric Hartman;Ben Garney;Anthony Rotondo";1074
Archive Entertainment;1075
ClockStone;1076
sparsevector;1077
Stygian Software;1078
Onipunks Studio Inc.;1079
Digerati Distribution;1080
Krillbite Studio;1081
souvenir circ.;1082
Escape Hatch Entertainment, LLC;1083
Yacht Club Games;1084
TREND, Soft Pro;1085
Loiste Interactive;1086
9heads Game Studios;1087
BlueLine Games;1088
Tuque Games;1089
GrisGris;1090
Nocturnal works;1091
MagicalTimeBean;1092
InterWave Studios;1093
Studio Fizbin;1094
Kiz Studios;1095
Matt Thorson;1096
International Games System, Co., LTD.;1097
The Fun Pimps;1098
Grip Games;1099
Vivid Games;1100
Auroch Digital;1101
Acclaim Studios Teeside;1102
Leadwerks Software;1103
Zoink Games;1104
Wales Interactive;1105
OVERDRIVE;1106
Vertigo Games;1107
Firebrand Games;1108
Cornered Rat Software;1109
JoyMasher;1110
GameCask;1111
8888888 LABS;1112
Candescent Games;1113
Asteroid Base;1114
"Victor Solodilov;Denis Novikov";1115
"Spark Unlimited;comcept Inc.;Team NINJA";1116
Simon Roth;1117
Frima Studio;1118
"Dejobaan Games, LLC;Popcannibal";1119
Studio Evil;1120
Blue Isle Studios;1121
"WayForward;Abstraction Games";1122
Completely Fair Games LLC;1123
Image & Form Games;1124
PD Design Studio;1125
MR-Software GbR;1126
Liquid Flower;1127
Dirigo Games;1128
"Rocketcat Games;Madgarden";1129
Minor Key Games;1130
BeautiFun Games;1131
SmiteWorks USA, LLC;1132
DotEmu;1133
Jackbox Games, Inc.;1134
Crunching Koalas;1135
Hailstorm Games;1136
Leafy Games;1137
Psyonix, Inc.;1138
Elefantopia;1139
Flippfly LLC;1140
Harvester Games;1141
Robotality;1142
Gears for Breakfast;1143
Radiant Entertainment;1144
Infinitap Games;1145
StarQuail Games;1146
Axis Game Factory LLC;1147
Glass Bottom Games;1148
Crescent Moon Games;1149
DigitalDNA Games LLC;1150
